Retailer,Product ID,City,Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
West Gear,FUR-FU-10004270,Salt Lake City,Men's Apparel,$35.00 ,375,"$1,31,250 ","$45,938 ",35%
West Gear,OFF-BI-10002498,Salt Lake City,Women's Apparel,$25.00 ,450,"$1,12,500 ","$56,250 ",50%
West Gear,OFF-SU-10002881,Salt Lake City,Men's Street Footwear,$30.00 ,670,"$2,01,000 ","$80,400 ",40%
West Gear,TEC-AC-10002926,Salt Lake City,Men's Athletic Footwear,$30.00 ,350,"$1,05,000 ","$36,750 ",35%
West Gear,TEC-PH-10002200,Salt Lake City,Women's Street Footwear,$20.00 ,400,"$80,000 ","$28,000 ",35%
West Gear,OFF-PA-10002005,Salt Lake City,Women's Athletic Footwear,$25.00 ,250,"$62,500 ","$25,000 ",40%
West Gear,TEC-AC-10001465,Salt Lake City,Men's Apparel,$40.00 ,300,"$1,20,000 ","$42,000 ",35%
West Gear,TEC-PH-10004897,Salt Lake City,Women's Apparel,$30.00 ,400,"$1,20,000 ","$60,000 ",50%
West Gear,FUR-FU-10001196,Salt Lake City,Men's Street Footwear,$30.00 ,625,"$1,87,500 ","$75,000 ",40%
West Gear,OFF-PA-10000595,Salt Lake City,Men's Athletic Footwear,$25.00 ,325,"$81,250 ","$28,438 ",35%
West Gear,FUR-TA-10004534,Salt Lake City,Women's Street Footwear,$15.00 ,325,"$48,750 ","$17,063 ",35%
West Gear,FUR-FU-10001861,Salt Lake City,Women's Athletic Footwear,$20.00 ,250,"$50,000 ","$20,000 ",40%
West Gear,FUR-FU-10000206,Salt Lake City,Men's Apparel,$35.00 ,275,"$96,250 ","$33,688 ",35%
West Gear,FUR-TA-10002607,Salt Lake City,Women's Apparel,$25.00 ,400,"$1,00,000 ","$50,000 ",50%
West Gear,OFF-LA-10000443,Salt Lake City,Men's Street Footwear,$35.00 ,670,"$2,34,500 ","$93,800 ",40%
West Gear,OFF-AR-10004685,Salt Lake City,Men's Athletic Footwear,$30.00 ,375,"$1,12,500 ","$39,375 ",35%
West Gear,OFF-LA-10001771,Salt Lake City,Women's Street Footwear,$25.00 ,350,"$87,500 ","$30,625 ",35%
West Gear,OFF-AP-10001394,Salt Lake City,Women's Athletic Footwear,$25.00 ,275,"$68,750 ","$27,500 ",40%
West Gear,FUR-FU-10002553,Salt Lake City,Men's Apparel,$40.00 ,300,"$1,20,000 ","$42,000 ",35%
West Gear,OFF-AP-10004233,Salt Lake City,Women's Apparel,$45.00 ,400,"$1,80,000 ","$90,000 ",50%
West Gear,OFF-FA-10000304,Salt Lake City,Men's Street Footwear,$30.00 ,650,"$1,95,000 ","$78,000 ",40%
West Gear,FUR-CH-10004754,Salt Lake City,Men's Athletic Footwear,$25.00 ,400,"$1,00,000 ","$35,000 ",35%
West Gear,OFF-PA-10000809,Salt Lake City,Women's Street Footwear,$20.00 ,425,"$85,000 ","$29,750 ",35%
West Gear,OFF-BI-10003694,Salt Lake City,Women's Athletic Footwear,$20.00 ,400,"$80,000 ","$32,000 ",40%
West Gear,FUR-FU-10001935,Salt Lake City,Men's Apparel,$35.00 ,400,"$1,40,000 ","$49,000 ",35%
West Gear,FUR-FU-10002878,Salt Lake City,Women's Apparel,$40.00 ,575,"$2,30,000 ","$1,15,000 ",50%
West Gear,TEC-PH-10002624,Salt Lake City,Men's Street Footwear,$35.00 ,800,"$2,80,000 ","$1,12,000 ",40%
West Gear,OFF-PA-10000019,Salt Lake City,Men's Athletic Footwear,$30.00 ,550,"$1,65,000 ","$57,750 ",35%
West Gear,TEC-PH-10002885,Salt Lake City,Women's Street Footwear,$25.00 ,475,"$1,18,750 ","$41,563 ",35%
West Gear,TEC-PH-10000895,Salt Lake City,Women's Athletic Footwear,$25.00 ,425,"$1,06,250 ","$42,500 ",40%
West Gear,FUR-TA-10002356,Salt Lake City,Men's Apparel,$35.00 ,425,"$1,48,750 ","$52,063 ",35%
West Gear,FUR-CH-10001270,Salt Lake City,Women's Apparel,$40.00 ,600,"$2,40,000 ","$1,20,000 ",50%
West Gear,TEC-MA-10000488,Salt Lake City,Men's Street Footwear,$35.00 ,750,"$2,62,500 ","$1,05,000 ",40%
West Gear,OFF-PA-10003729,Salt Lake City,Men's Athletic Footwear,$35.00 ,525,"$1,83,750 ","$64,313 ",35%
West Gear,OFF-AR-10003056,Salt Lake City,Women's Street Footwear,$30.00 ,450,"$1,35,000 ","$47,250 ",35%
West Gear,OFF-AP-10002518,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"$75,000 ","$30,000 ",40%
West Gear,OFF-LA-10000240,Salt Lake City,Men's Apparel,$30.00 ,350,"$1,05,000 ","$36,750 ",35%
West Gear,FUR-FU-10000629,Salt Lake City,Women's Apparel,$35.00 ,525,"$1,83,750 ","$91,875 ",50%
West Gear,OFF-AP-10001005,Salt Lake City,Men's Street Footwear,$30.00 ,650,"$1,95,000 ","$78,000 ",40%
West Gear,OFF-PA-10002377,Salt Lake City,Men's Athletic Footwear,$25.00 ,450,"$1,12,500 ","$39,375 ",35%
West Gear,FUR-CH-10000988,Salt Lake City,Women's Street Footwear,$10.00 ,350,"$35,000 ","$12,250 ",35%
West Gear,OFF-LA-10001074,Salt Lake City,Women's Athletic Footwear,$10.00 ,325,"$32,500 ","$13,000 ",40%
West Gear,FUR-FU-10001986,Salt Lake City,Men's Apparel,$20.00 ,325,"$65,000 ","$22,750 ",35%
West Gear,TEC-AC-10003027,Salt Lake City,Women's Apparel,$25.00 ,400,"$1,00,000 ","$50,000 ",50%
West Gear,OFF-PA-10001804,Salt Lake City,Men's Street Footwear,$30.00 ,575,"$1,72,500 ","$69,000 ",40%
West Gear,FUR-FU-10004973,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"$80,000 ","$28,000 ",35%
West Gear,FUR-CH-10002602,Salt Lake City,Women's Street Footwear,$20.00 ,300,"$60,000 ","$21,000 ",35%
West Gear,OFF-BI-10004140,Salt Lake City,Women's Athletic Footwear,$20.00 ,275,"$55,000 ","$22,000 ",40%
West Gear,OFF-ST-10000464,Salt Lake City,Men's Apparel,$30.00 ,275,"$82,500 ","$28,875 ",35%
West Gear,TEC-AC-10002253,Salt Lake City,Women's Apparel,$35.00 ,400,"$1,40,000 ","$70,000 ",50%
West Gear,OFF-PA-10000528,Salt Lake City,Men's Street Footwear,$30.00 ,550,"$1,65,000 ","$66,000 ",40%
West Gear,OFF-EN-10000483,Salt Lake City,Men's Athletic Footwear,$20.00 ,400,"$80,000 ","$28,000 ",35%
West Gear,OFF-PA-10003129,Salt Lake City,Women's Street Footwear,$20.00 ,345,"$69,000 ","$24,150 ",35%
West Gear,OFF-ST-10003442,Salt Lake City,Women's Athletic Footwear,$20.00 ,375,"$75,000 ","$30,000 ",40%
West Gear,OFF-AR-10003631,Salt Lake City,Men's Apparel,$40.00 ,350,"$1,40,000 ","$49,000 ",35%
West Gear,OFF-ST-10000563,Salt Lake City,Women's Apparel,$45.00 ,450,"$2,02,500 ","$1,01,250 ",50%
West Gear,OFF-BI-10002133,Salt Lake City,Men's Street Footwear,$40.00 ,700,"$2,80,000 ","$1,12,000 ",40%
West Gear,OFF-AP-10002311,Salt Lake City,Men's Athletic Footwear,$30.00 ,500,"$1,50,000 ","$52,500 ",35%
West Gear,TEC-PH-10004959,Salt Lake City,Women's Street Footwear,$30.00 ,450,"$1,35,000 ","$47,250 ",35%
West Gear,FUR-BO-10001918,Salt Lake City,Women's Athletic Footwear,$30.00 ,400,"$1,20,000 ","$48,000 ",40%
West Gear,TEC-PH-10004896,Salt Lake City,Men's Apparel,$40.00 ,400,"$1,60,000 ","$56,000 ",35%
West Gear,OFF-ST-10001328,Salt Lake City,Women's Apparel,$45.00 ,500,"$2,25,000 ","$1,12,500 ",50%
West Gear,FUR-TA-10004575,Salt Lake City,Men's Street Footwear,$30.00 ,350,"$1,05,000 ","$36,750 ",35%
West Gear,FUR-FU-10001617,Salt Lake City,Men's Athletic Footwear,$40.00 ,350,"$1,40,000 ","$49,000 ",35%
West Gear,TEC-PH-10002824,Salt Lake City,Women's Street Footwear,$40.00 ,350,"$1,40,000 ","$49,000 ",35%
West Gear,FUR-FU-10004460,Salt Lake City,Women's Athletic Footwear,$40.00 ,200,"$80,000 ","$28,000 ",35%
West Gear,OFF-PA-10003309,Salt Lake City,Men's Apparel,$45.00 ,150,"$67,500 ","$27,000 ",40%
West Gear,OFF-ST-10002554,Salt Lake City,Women's Apparel,$40.00 ,400,"$1,60,000 ","$48,000 ",30%
West Gear,OFF-PA-10000019,Salt Lake City,Men's Street Footwear,$30.00 ,450,"$1,35,000 ","$47,250 ",35%
West Gear,OFF-AR-10002067,Salt Lake City,Men's Athletic Footwear,$40.00 ,350,"$1,40,000 ","$49,000 ",35%
West Gear,FUR-CH-10001215,Salt Lake City,Women's Street Footwear,$40.00 ,350,"$1,40,000 ","$49,000 ",35%
West Gear,FUR-TA-10004175,Portland,Women's Athletic Footwear,$40.00 ,200,"$80,000 ","$28,000 ",35%
West Gear,FUR-TA-10004767,Portland,Men's Apparel,$45.00 ,125,"$56,250 ","$22,500 ",40%
West Gear,OFF-PA-10001685,Portland,Women's Apparel,$40.00 ,325,"$1,30,000 ","$39,000 ",30%
West Gear,FUR-BO-10003272,Portland,Men's Street Footwear,$40.00 ,475,"$1,90,000 ","$66,500 ",35%
West Gear,TEC-PH-10000984,Portland,Men's Athletic Footwear,$50.00 ,325,"$1,62,500 ","$56,875 ",35%
West Gear,FUR-CH-10002880,Portland,Women's Street Footwear,$55.00 ,350,"$1,92,500 ","$67,375 ",35%
West Gear,TEC-PH-10002563,Portland,Women's Athletic Footwear,$50.00 ,250,"$1,25,000 ","$43,750 ",35%
West Gear,OFF-BI-10001191,Portland,Men's Apparel,$55.00 ,100,"$55,000 ","$22,000 ",40%
West Gear,OFF-EN-10002621,Portland,Women's Apparel,$50.00 ,300,"$1,50,000 ","$45,000 ",30%
West Gear,FUR-CH-10001146,Portland,Men's Street Footwear,$55.00 ,475,"$2,61,250 ","$91,438 ",35%
West Gear,OFF-ST-10000689,Portland,Men's Athletic Footwear,$60.00 ,275,"$1,65,000 ","$57,750 ",35%
West Gear,OFF-PA-10001289,Portland,Women's Street Footwear,$60.00 ,325,"$1,95,000 ","$68,250 ",35%
West Gear,OFF-LA-10003714,Portland,Women's Athletic Footwear,$45.00 ,225,"$1,01,250 ","$35,438 ",35%
West Gear,FUR-FU-10001889,Portland,Men's Apparel,$50.00 ,125,"$62,500 ","$25,000 ",40%
West Gear,OFF-FA-10002815,Portland,Women's Apparel,$65.00 ,300,"$1,95,000 ","$58,500 ",30%
West Gear,OFF-BI-10004519,Portland,Men's Street Footwear,$50.00 ,500,"$2,50,000 ","$87,500 ",35%
West Gear,OFF-AP-10004708,Portland,Men's Athletic Footwear,$55.00 ,350,"$1,92,500 ","$67,375 ",35%
West Gear,FUR-TA-10000617,Portland,Women's Street Footwear,$55.00 ,350,"$1,92,500 ","$67,375 ",35%
West Gear,OFF-PA-10001204,Portland,Women's Athletic Footwear,$50.00 ,275,"$1,37,500 ","$48,125 ",35%
West Gear,OFF-AR-10003723,Portland,Men's Apparel,$45.00 ,175,"$78,750 ","$31,500 ",40%
West Gear,OFF-EN-10002621,Portland,Women's Apparel,$60.00 ,525,"$3,15,000 ","$94,500 ",30%
West Gear,OFF-PA-10000241,Portland,Men's Street Footwear,$55.00 ,775,"$4,26,250 ","$1,49,188 ",35%
West Gear,OFF-AR-10001446,Portland,Men's Athletic Footwear,$65.00 ,650,"$4,22,500 ","$1,47,875 ",35%
West Gear,OFF-BI-10004632,Portland,Women's Street Footwear,$80.00 ,650,"$5,20,000 ","$1,82,000 ",35%
West Gear,OFF-BI-10001359,Portland,Women's Athletic Footwear,$80.00 ,525,"$4,20,000 ","$1,47,000 ",35%
West Gear,OFF-EN-10001749,Portland,Men's Apparel,$90.00 ,400,"$3,60,000 ","$1,44,000 ",40%
West Gear,OFF-BI-10004390,Portland,Women's Apparel,$105.00 ,700,"$7,35,000 ","$2,20,500 ",30%
West Gear,FUR-TA-10001857,Portland,Men's Street Footwear,$85.00 ,850,"$7,22,500 ","$2,52,875 ",35%
West Gear,OFF-ST-10000563,Portland,Men's Athletic Footwear,$90.00 ,700,"$6,30,000 ","$2,20,500 ",35%
West Gear,TEC-PH-10004924,Portland,Women's Street Footwear,$90.00 ,650,"$5,85,000 ","$2,04,750 ",35%
West Gear,OFF-PA-10003953,Portland,Women's Athletic Footwear,$85.00 ,550,"$4,67,500 ","$1,63,625 ",35%
West Gear,FUR-CH-10000155,Portland,Men's Apparel,$90.00 ,600,"$5,40,000 ","$2,16,000 ",40%
West Gear,TEC-AC-10003116,Portland,Women's Apparel,$105.00 ,600,"$6,30,000 ","$1,89,000 ",30%
West Gear,OFF-ST-10002743,Portland,Men's Street Footwear,$90.00 ,800,"$7,20,000 ","$2,52,000 ",35%
West Gear,OFF-BI-10001757,Portland,Men's Athletic Footwear,$80.00 ,775,"$6,20,000 ","$2,17,000 ",35%
West Gear,OFF-BI-10000069,Portland,Women's Street Footwear,$70.00 ,650,"$4,55,000 ","$1,59,250 ",35%
West Gear,FUR-FU-10004093,Portland,Women's Athletic Footwear,$70.00 ,425,"$2,97,500 ","$1,04,125 ",35%
West Gear,FUR-FU-10001037,Portland,Men's Apparel,$70.00 ,425,"$2,97,500 ","$1,19,000 ",40%
West Gear,TEC-AC-10003832,Portland,Women's Apparel,$75.00 ,250,"$1,87,500 ","$56,250 ",30%
West Gear,OFF-PA-10001878,Portland,Men's Street Footwear,$50.00 ,450,"$2,25,000 ","$78,750 ",35%
West Gear,TEC-MA-10003674,Portland,Men's Athletic Footwear,$55.00 ,450,"$2,47,500 ","$86,625 ",35%
West Gear,TEC-AC-10003628,Portland,Women's Street Footwear,$50.00 ,250,"$1,25,000 ","$43,750 ",35%
West Gear,OFF-LA-10003190,Portland,Women's Athletic Footwear,$50.00 ,200,"$1,00,000 ","$35,000 ",35%
West Gear,OFF-AR-10002280,Portland,Men's Apparel,$60.00 ,225,"$1,35,000 ","$54,000 ",40%
West Gear,OFF-LA-10001569,Portland,Women's Apparel,$45.00 ,250,"$1,12,500 ","$33,750 ",30%
West Gear,OFF-AR-10001573,Portland,Men's Street Footwear,$40.00 ,350,"$1,40,000 ","$49,000 ",35%
West Gear,TEC-PH-10001809,Portland,Men's Athletic Footwear,$55.00 ,525,"$2,88,750 ","$1,01,063 ",35%
West Gear,OFF-BI-10003091,Portland,Women's Street Footwear,$50.00 ,350,"$1,75,000 ","$61,250 ",35%
West Gear,FUR-CH-10003981,Portland,Women's Athletic Footwear,$45.00 ,325,"$1,46,250 ","$51,188 ",35%
West Gear,OFF-ST-10002562,Portland,Men's Apparel,$55.00 ,300,"$1,65,000 ","$66,000 ",40%
West Gear,TEC-PH-10004345,Portland,Women's Apparel,$60.00 ,350,"$2,10,000 ","$63,000 ",30%
West Gear,OFF-AR-10000588,Portland,Men's Street Footwear,$45.00 ,575,"$2,58,750 ","$90,563 ",35%
West Gear,OFF-PA-10003039,Portland,Men's Athletic Footwear,$50.00 ,650,"$3,25,000 ","$1,13,750 ",35%
West Gear,TEC-AC-10001908,Portland,Women's Street Footwear,$45.00 ,475,"$2,13,750 ","$74,813 ",35%
West Gear,TEC-PH-10001198,Portland,Women's Athletic Footwear,$55.00 ,450,"$2,47,500 ","$86,625 ",35%
West Gear,OFF-PA-10004071,Portland,Men's Apparel,$75.00 ,425,"$3,18,750 ","$1,27,500 ",40%
West Gear,OFF-PA-10001972,Portland,Women's Apparel,$80.00 ,550,"$4,40,000 ","$1,32,000 ",30%
West Gear,OFF-ST-10004180,Portland,Men's Street Footwear,$65.00 ,750,"$4,87,500 ","$1,70,625 ",35%
West Gear,TEC-PH-10004165,Portland,Men's Athletic Footwear,$75.00 ,750,"$5,62,500 ","$1,96,875 ",35%
West Gear,TEC-PH-10002483,Portland,Women's Street Footwear,$70.00 ,550,"$3,85,000 ","$1,34,750 ",35%
West Gear,FUR-BO-10000468,Portland,Women's Athletic Footwear,$70.00 ,550,"$3,85,000 ","$1,34,750 ",35%
West Gear,FUR-FU-10001706,Portland,Men's Apparel,$80.00 ,475,"$3,80,000 ","$1,52,000 ",40%
West Gear,OFF-PA-10003129,Portland,Women's Apparel,$85.00 ,575,"$4,88,750 ","$1,46,625 ",30%
West Gear,TEC-AC-10001284,Portland,Men's Street Footwear,$35.00 ,400,"$1,40,000 ","$56,000 ",40%
West Gear,FUR-FU-10002268,Portland,Men's Athletic Footwear,$45.00 ,400,"$1,80,000 ","$72,000 ",40%
West Gear,OFF-BI-10002082,Portland,Women's Street Footwear,$45.00 ,400,"$1,80,000 ","$72,000 ",40%
West Gear,OFF-ST-10001505,Portland,Women's Athletic Footwear,$45.00 ,250,"$1,12,500 ","$45,000 ",40%
West Gear,OFF-BI-10001634,Portland,Men's Apparel,$50.00 ,200,"$1,00,000 ","$45,000 ",45%
West Gear,FUR-CH-10004287,Portland,Women's Apparel,$45.00 ,450,"$2,02,500 ","$70,875 ",35%
West Gear,OFF-LA-10004544,Portland,Men's Street Footwear,$35.00 ,500,"$1,75,000 ","$70,000 ",40%
West Gear,OFF-ST-10004507,Portland,Men's Athletic Footwear,$45.00 ,400,"$1,80,000 ","$72,000 ",40%
West Gear,OFF-BI-10002012,Portland,Women's Street Footwear,$45.00 ,400,"$1,80,000 ","$72,000 ",40%
West Gear,TEC-AC-10001109,New Orleans,Women's Athletic Footwear,$45.00 ,250,"$1,12,500 ","$45,000 ",40%
West Gear,OFF-PA-10000809,New Orleans,Men's Apparel,$50.00 ,175,"$87,500 ","$39,375 ",45%
West Gear,OFF-AR-10000658,New Orleans,Women's Apparel,$45.00 ,375,"$1,68,750 ","$59,063 ",35%
West Gear,FUR-FU-10001196,New Orleans,Men's Street Footwear,$45.00 ,525,"$2,36,250 ","$94,500 ",40%
West Gear,FUR-TA-10001889,New Orleans,Men's Athletic Footwear,$55.00 ,375,"$2,06,250 ","$82,500 ",40%
West Gear,OFF-AP-10000358,New Orleans,Women's Street Footwear,$60.00 ,400,"$2,40,000 ","$96,000 ",40%
West Gear,OFF-BI-10004970,New Orleans,Women's Athletic Footwear,$55.00 ,300,"$1,65,000 ","$66,000 ",40%
West Gear,TEC-PH-10003885,New Orleans,Men's Apparel,$60.00 ,150,"$90,000 ","$40,500 ",45%
West Gear,OFF-LA-10001641,New Orleans,Women's Apparel,$45.00 ,350,"$1,57,500 ","$55,125 ",35%
West Gear,FUR-CH-10003379,New Orleans,Men's Street Footwear,$50.00 ,525,"$2,62,500 ","$1,05,000 ",40%
West Gear,OFF-AR-10004582,New Orleans,Men's Athletic Footwear,$55.00 ,325,"$1,78,750 ","$71,500 ",40%
West Gear,TEC-AC-10002842,New Orleans,Women's Street Footwear,$55.00 ,375,"$2,06,250 ","$82,500 ",40%
West Gear,TEC-AC-10000109,New Orleans,Women's Athletic Footwear,$40.00 ,275,"$1,10,000 ","$44,000 ",40%
West Gear,OFF-PA-10003893,New Orleans,Men's Apparel,$45.00 ,175,"$78,750 ","$35,438 ",45%
West Gear,OFF-BI-10003669,New Orleans,Women's Apparel,$60.00 ,350,"$2,10,000 ","$73,500 ",35%
West Gear,OFF-AP-10004785,New Orleans,Men's Street Footwear,$45.00 ,550,"$2,47,500 ","$99,000 ",40%
West Gear,TEC-AC-10003023,New Orleans,Men's Athletic Footwear,$50.00 ,400,"$2,00,000 ","$80,000 ",40%
West Gear,TEC-AC-10002217,New Orleans,Women's Street Footwear,$50.00 ,400,"$2,00,000 ","$80,000 ",40%
West Gear,OFF-BI-10002954,New Orleans,Women's Athletic Footwear,$45.00 ,325,"$1,46,250 ","$58,500 ",40%
West Gear,OFF-PA-10002586,New Orleans,Men's Apparel,$40.00 ,225,"$90,000 ","$40,500 ",45%
West Gear,OFF-ST-10000025,New Orleans,Women's Apparel,$65.00 ,575,"$3,73,750 ","$1,30,813 ",35%
West Gear,OFF-AP-10003281,New Orleans,Men's Street Footwear,$60.00 ,825,"$4,95,000 ","$1,98,000 ",40%
West Gear,TEC-PH-10002103,New Orleans,Men's Athletic Footwear,$70.00 ,700,"$4,90,000 ","$1,96,000 ",40%
West Gear,OFF-SU-10000898,New Orleans,Women's Street Footwear,$85.00 ,700,"$5,95,000 ","$2,38,000 ",40%
West Gear,OFF-PA-10001144,New Orleans,Women's Athletic Footwear,$85.00 ,575,"$4,88,750 ","$1,95,500 ",40%
West Gear,TEC-AC-10004659,New Orleans,Men's Apparel,$95.00 ,450,"$4,27,500 ","$1,92,375 ",45%
West Gear,OFF-AR-10004752,New Orleans,Women's Apparel,$110.00 ,750,"$8,25,000 ","$2,88,750 ",35%
West Gear,TEC-AC-10004659,New Orleans,Men's Street Footwear,$90.00 ,900,"$8,10,000 ","$3,24,000 ",40%
West Gear,OFF-BI-10001249,New Orleans,Men's Athletic Footwear,$95.00 ,750,"$7,12,500 ","$2,85,000 ",40%
West Gear,OFF-FA-10003059,New Orleans,Women's Street Footwear,$95.00 ,700,"$6,65,000 ","$2,66,000 ",40%
West Gear,TEC-AC-10002718,New Orleans,Women's Athletic Footwear,$90.00 ,600,"$5,40,000 ","$2,16,000 ",40%
West Gear,OFF-ST-10001522,New Orleans,Men's Apparel,$95.00 ,650,"$6,17,500 ","$2,77,875 ",45%
West Gear,TEC-PH-10002352,New Orleans,Women's Apparel,$110.00 ,650,"$7,15,000 ","$2,50,250 ",35%
West Gear,FUR-CH-10003774,New Orleans,Men's Street Footwear,$95.00 ,850,"$8,07,500 ","$3,23,000 ",40%
West Gear,OFF-AR-10000127,New Orleans,Men's Athletic Footwear,$85.00 ,825,"$7,01,250 ","$2,80,500 ",40%
West Gear,FUR-CH-10004086,New Orleans,Women's Street Footwear,$75.00 ,700,"$5,25,000 ","$2,10,000 ",40%
West Gear,OFF-ST-10001228,New Orleans,Women's Athletic Footwear,$75.00 ,475,"$3,56,250 ","$1,42,500 ",40%
West Gear,OFF-BI-10004187,New Orleans,Men's Apparel,$65.00 ,475,"$3,08,750 ","$1,38,938 ",45%
West Gear,TEC-PH-10003811,New Orleans,Women's Apparel,$70.00 ,300,"$2,10,000 ","$73,500 ",35%
West Gear,OFF-AP-10000240,New Orleans,Men's Street Footwear,$45.00 ,500,"$2,25,000 ","$90,000 ",40%
West Gear,FUR-FU-10001940,New Orleans,Men's Athletic Footwear,$50.00 ,500,"$2,50,000 ","$1,00,000 ",40%
West Gear,OFF-PA-10000575,New Orleans,Women's Street Footwear,$45.00 ,300,"$1,35,000 ","$54,000 ",40%
West Gear,TEC-CO-10001449,New Orleans,Women's Athletic Footwear,$45.00 ,250,"$1,12,500 ","$45,000 ",40%
West Gear,OFF-BI-10002393,New Orleans,Men's Apparel,$55.00 ,275,"$1,51,250 ","$68,063 ",45%
West Gear,FUR-TA-10002855,New Orleans,Women's Apparel,$40.00 ,300,"$1,20,000 ","$42,000 ",35%
West Gear,OFF-EN-10000781,New Orleans,Men's Street Footwear,$35.00 ,400,"$1,40,000 ","$56,000 ",40%
West Gear,OFF-PA-10002160,New Orleans,Men's Athletic Footwear,$50.00 ,575,"$2,87,500 ","$1,15,000 ",40%
West Gear,OFF-BI-10004970,New Orleans,Women's Street Footwear,$45.00 ,400,"$1,80,000 ","$72,000 ",40%
West Gear,OFF-LA-10003923,New Orleans,Women's Athletic Footwear,$40.00 ,375,"$1,50,000 ","$60,000 ",40%
West Gear,OFF-AR-10002257,New Orleans,Men's Apparel,$50.00 ,350,"$1,75,000 ","$78,750 ",45%
West Gear,OFF-FA-10004395,New Orleans,Women's Apparel,$55.00 ,400,"$2,20,000 ","$77,000 ",35%
West Gear,OFF-AP-10002534,New Orleans,Men's Street Footwear,$40.00 ,625,"$2,50,000 ","$1,00,000 ",40%
West Gear,FUR-FU-10004020,New Orleans,Men's Athletic Footwear,$45.00 ,700,"$3,15,000 ","$1,26,000 ",40%
West Gear,OFF-LA-10002787,New Orleans,Women's Street Footwear,$40.00 ,525,"$2,10,000 ","$84,000 ",40%
West Gear,TEC-PH-10003645,New Orleans,Women's Athletic Footwear,$50.00 ,500,"$2,50,000 ","$1,00,000 ",40%
West Gear,TEC-PH-10001615,New Orleans,Men's Apparel,$70.00 ,475,"$3,32,500 ","$1,49,625 ",45%
West Gear,TEC-AC-10001767,New Orleans,Women's Apparel,$85.00 ,600,"$5,10,000 ","$1,78,500 ",35%
West Gear,OFF-AR-10001221,New Orleans,Men's Street Footwear,$70.00 ,800,"$5,60,000 ","$2,24,000 ",40%
West Gear,OFF-ST-10000563,New Orleans,Men's Athletic Footwear,$80.00 ,800,"$6,40,000 ","$2,56,000 ",40%
Foot Locker,FUR-CH-10001146,New Orleans,Women's Street Footwear,$75.00 ,600,"$4,50,000 ","$1,80,000 ",40%
Foot Locker,OFF-BI-10004738,New Orleans,Women's Athletic Footwear,$75.00 ,600,"$4,50,000 ","$1,80,000 ",40%
Foot Locker,OFF-AR-10000034,New Orleans,Men's Apparel,$85.00 ,525,"$4,46,250 ","$2,00,813 ",45%
Foot Locker,TEC-AC-10000290,New Orleans,Women's Apparel,$90.00 ,625,"$5,62,500 ","$1,96,875 ",35%
Foot Locker,FUR-BO-10003034,New Orleans,Men's Street Footwear,$20.00 ,675,"$1,35,000 ","$40,500 ",30%
Foot Locker,OFF-AR-10001315,New Orleans,Men's Athletic Footwear,$30.00 ,675,"$2,02,500 ","$60,750 ",30%
Foot Locker,OFF-AP-10002118,New Orleans,Women's Street Footwear,$30.00 ,475,"$1,42,500 ","$42,750 ",30%
Foot Locker,OFF-PA-10002137,New Orleans,Women's Athletic Footwear,$35.00 ,475,"$1,66,250 ","$66,500 ",40%
Foot Locker,TEC-AC-10001606,New Orleans,Men's Apparel,$40.00 ,325,"$1,30,000 ","$32,500 ",25%
West Gear,OFF-ST-10000943,New Orleans,Women's Apparel,$35.00 ,475,"$1,66,250 ","$74,813 ",45%
Foot Locker,FUR-CH-10001854,New Orleans,Men's Street Footwear,$25.00 ,625,"$1,56,250 ","$46,875 ",30%
Foot Locker,OFF-PA-10000533,New Orleans,Men's Athletic Footwear,$35.00 ,600,"$2,10,000 ","$63,000 ",30%
Foot Locker,OFF-ST-10003716,New Orleans,Women's Street Footwear,$35.00 ,425,"$1,48,750 ","$44,625 ",30%
Foot Locker,OFF-BI-10000088,Boise,Women's Athletic Footwear,$35.00 ,375,"$1,31,250 ","$52,500 ",40%
Foot Locker,OFF-LA-10000240,Boise,Men's Apparel,$40.00 ,250,"$1,00,000 ","$25,000 ",25%
Foot Locker,OFF-SU-10001165,Boise,Women's Apparel,$35.00 ,450,"$1,57,500 ","$70,875 ",45%
Foot Locker,OFF-PA-10002749,Boise,Men's Street Footwear,$30.00 ,625,"$1,87,500 ","$65,625 ",35%
Foot Locker,OFF-ST-10001490,Boise,Men's Athletic Footwear,$40.00 ,625,"$2,50,000 ","$87,500 ",35%
Foot Locker,OFF-PA-10002377,Boise,Women's Street Footwear,$30.00 ,450,"$1,35,000 ","$47,250 ",35%
Foot Locker,OFF-BI-10004826,Boise,Women's Athletic Footwear,$35.00 ,350,"$1,22,500 ","$55,125 ",45%
West Gear,FUR-CH-10004675,Boise,Men's Apparel,$40.00 ,250,"$1,00,000 ","$30,000 ",30%
West Gear,OFF-BI-10002867,Boise,Women's Apparel,$35.00 ,400,"$1,40,000 ","$70,000 ",50%
West Gear,FUR-BO-10004409,Boise,Men's Street Footwear,$20.00 ,650,"$1,30,000 ","$45,500 ",35%
West Gear,OFF-BI-10002225,Boise,Men's Athletic Footwear,$30.00 ,650,"$1,95,000 ","$68,250 ",35%
West Gear,OFF-BI-10001989,Boise,Women's Street Footwear,$25.00 ,475,"$1,18,750 ","$41,563 ",35%
