Age,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate
40,1124,Sales,1,Medical,453,Male,57,Sales Executive,Married,7457,13273
29,318,Research & Development,8,Other,454,Male,77,Laboratory Technician,Married,2119,4759
29,738,Research & Development,9,Other,455,Male,30,Laboratory Technician,Single,3983,7621
30,570,Sales,5,Marketing,456,Female,30,Sales Executive,Divorced,6118,5431
27,1130,Sales,8,Marketing,458,Female,56,Sales Executive,Married,6214,3415
37,1192,Research & Development,5,Medical,460,Male,61,Manufacturing Director,Divorced,6347,23177
38,343,Research & Development,15,Life Sciences,461,Male,92,Research Director,Divorced,11510,15682
31,1232,Research & Development,7,Medical,462,Female,39,Manufacturing Director,Single,7143,25713
29,144,Sales,10,Marketing,463,Female,39,Sales Executive,Divorced,8268,11866
35,1296,Research & Development,5,Technical Degree,464,Male,62,Manufacturing Director,Single,8095,18264
23,1309,Research & Development,26,Life Sciences,465,Male,83,Research Scientist,Divorced,2904,16092
41,483,Research & Development,6,Medical,466,Male,95,Manufacturing Director,Single,6032,10110
47,1309,Sales,4,Medical,467,Male,99,Sales Representative,Single,2976,25751
42,810,Research & Development,23,Life Sciences,468,Female,44,Research Director,Single,15992,15901
29,746,Sales,2,Life Sciences,469,Male,61,Sales Executive,Married,4649,16928
42,544,Human Resources,2,Technical Degree,470,Male,52,Human Resources,Divorced,2696,24017
32,1062,Research & Development,2,Medical,471,Female,75,Laboratory Technician,Married,2370,3956
48,530,Sales,29,Medical,473,Female,91,Manager,Married,12504,23978
37,1319,Research & Development,6,Medical,474,Male,51,Research Scientist,Divorced,5974,17001
30,641,Sales,25,Technical Degree,475,Female,85,Sales Executive,Married,4736,6069
26,933,Sales,1,Life Sciences,476,Male,57,Sales Executive,Married,5296,20156
42,1332,Research & Development,2,Other,477,Male,98,Healthcare Representative,Single,6781,17078
21,756,Sales,1,Technical Degree,478,Female,99,Sales Representative,Single,2174,9150
36,845,Sales,1,Medical,479,Female,45,Sales Executive,Single,6653,15276
36,541,Sales,3,Medical,481,Male,48,Sales Executive,Married,9699,7246
57,593,Research & Development,1,Medical,482,Male,88,Healthcare Representative,Married,6755,2967
40,1171,Research & Development,10,Life Sciences,483,Female,46,Laboratory Technician,Married,2213,22495
21,895,Sales,9,Medical,484,Male,39,Sales Representative,Single,2610,2851
33,350,Sales,5,Marketing,485,Female,34,Sales Representative,Single,2851,9150
37,921,Research & Development,10,Medical,486,Female,98,Laboratory Technician,Married,3452,17663
46,1144,Research & Development,7,Medical,487,Female,30,Manufacturing Director,Married,5258,16044
41,143,Sales,4,Marketing,488,Male,56,Sales Executive,Single,9355,9558
50,1046,Research & Development,10,Technical Degree,491,Male,100,Healthcare Representative,Single,10496,2755
40,575,Sales,22,Marketing,492,Male,68,Sales Executive,Married,6380,6110
31,408,Research & Development,9,Life Sciences,493,Male,42,Research Scientist,Single,2657,7551
21,156,Sales,12,Life Sciences,494,Female,90,Sales Representative,Single,2716,25422
29,1283,Research & Development,23,Life Sciences,495,Male,54,Research Scientist,Single,2201,18168
35,755,Research & Development,9,Life Sciences,496,Male,97,Healthcare Representative,Single,6540,19394
27,1469,Research & Development,1,Medical,497,Male,82,Laboratory Technician,Divorced,3816,17881
28,304,Sales,9,Life Sciences,498,Male,92,Sales Executive,Single,5253,20750
49,1261,Research & Development,7,Other,499,Male,31,Healthcare Representative,Single,10965,12066
51,1178,Sales,14,Life Sciences,500,Female,87,Sales Executive,Married,4936,14862
36,329,Research & Development,2,Life Sciences,501,Female,96,Research Scientist,Married,2543,11868
34,1362,Sales,19,Marketing,502,Male,67,Sales Executive,Single,5304,4652
55,1311,Research & Development,2,Life Sciences,505,Female,97,Manager,Single,16659,23258
24,1371,Sales,10,Marketing,507,Female,77,Sales Executive,Divorced,4260,5915
30,202,Sales,2,Technical Degree,508,Male,72,Sales Representative,Married,2476,17434
26,575,Research & Development,3,Technical Degree,510,Male,73,Research Scientist,Single,3102,6582
22,253,Research & Development,11,Medical,511,Female,43,Research Scientist,Married,2244,24440
36,164,Sales,2,Medical,513,Male,61,Sales Executive,Married,7596,3809
30,464,Research & Development,4,Technical Degree,514,Male,40,Research Scientist,Single,2285,3427
37,1107,Research & Development,14,Life Sciences,515,Female,95,Laboratory Technician,Divorced,3034,26914
40,759,Sales,2,Marketing,516,Female,46,Sales Executive,Divorced,5715,22553
42,201,Research & Development,1,Life Sciences,517,Female,95,Laboratory Technician,Divorced,2576,20490
37,1305,Research & Development,10,Life Sciences,518,Male,49,Manufacturing Director,Single,4197,21123
43,982,Research & Development,12,Life Sciences,520,Male,59,Research Director,Divorced,14336,4345
40,555,Research & Development,2,Medical,521,Female,78,Laboratory Technician,Married,3448,13436
54,821,Research & Development,5,Medical,522,Male,86,Research Director,Married,19406,8509
34,1381,Sales,4,Marketing,523,Female,72,Sales Executive,Married,6538,12740
31,480,Research & Development,7,Medical,524,Female,31,Manufacturing Director,Married,4306,4156
43,313,Research & Development,21,Medical,525,Male,61,Laboratory Technician,Married,2258,15238
43,1473,Research & Development,8,Other,526,Female,74,Healthcare Representative,Divorced,4522,2227
25,891,Sales,4,Life Sciences,527,Female,99,Sales Executive,Single,4487,12090
37,1063,Research & Development,25,Medical,529,Female,72,Research Scientist,Married,4449,23866
31,329,Research & Development,1,Life Sciences,530,Male,98,Laboratory Technician,Married,2218,16193
39,1218,Research & Development,1,Life Sciences,531,Male,52,Manager,Divorced,19197,8213
56,906,Sales,6,Life Sciences,532,Female,86,Sales Executive,Married,13212,18256
30,1082,Sales,12,Technical Degree,533,Female,83,Sales Executive,Single,6577,19558
41,645,Sales,1,Marketing,534,Male,49,Sales Executive,Married,8392,19566
28,1300,Research & Development,17,Medical,536,Male,79,Laboratory Technician,Divorced,4558,13535
25,688,Research & Development,3,Medical,538,Male,91,Laboratory Technician,Married,4031,9396
52,319,Research & Development,3,Medical,543,Male,39,Manufacturing Director,Married,7969,19609
45,192,Research & Development,10,Life Sciences,544,Male,69,Research Scientist,Married,2654,9655
52,1490,Research & Development,4,Life Sciences,546,Female,30,Manager,Married,16555,10310
42,532,Research & Development,29,Life Sciences,547,Female,92,Research Scientist,Divorced,4556,12932
30,317,Research & Development,2,Life Sciences,548,Female,43,Manufacturing Director,Single,6091,24793
60,422,Research & Development,7,Life Sciences,549,Female,41,Manager,Married,19566,3854
46,1485,Research & Development,18,Medical,550,Female,87,Manufacturing Director,Divorced,4810,26314
42,1368,Research & Development,28,Technical Degree,551,Female,88,Healthcare Representative,Married,4523,4386
24,1448,Sales,1,Technical Degree,554,Female,62,Sales Representative,Single,3202,21972
34,296,Sales,6,Marketing,555,Female,33,Sales Representative,Divorced,2351,12253
38,1490,Research & Development,2,Life Sciences,556,Male,42,Laboratory Technician,Married,1702,12106
40,1398,Sales,2,Life Sciences,558,Female,79,Manager,Married,18041,13022
26,1349,Research & Development,23,Life Sciences,560,Female,90,Research Scientist,Divorced,2886,3032
30,1400,Research & Development,3,Life Sciences,562,Male,53,Laboratory Technician,Married,2097,16734
29,986,Research & Development,3,Medical,564,Male,93,Research Director,Married,11935,21526
29,408,Research & Development,25,Technical Degree,565,Female,71,Research Scientist,Married,2546,18300
19,489,Human Resources,2,Technical Degree,566,Male,52,Human Resources,Single,2564,18437
30,1398,Sales,22,Other,567,Female,69,Sales Executive,Married,8412,2890
57,210,Sales,29,Marketing,568,Male,56,Manager,Divorced,14118,22102
50,1099,Research & Development,29,Life Sciences,569,Male,88,Manager,Married,17046,9314
30,1116,Research & Development,2,Medical,571,Female,49,Laboratory Technician,Single,2564,7181
60,1499,Sales,28,Marketing,573,Female,80,Sales Executive,Married,10266,2845
47,983,Research & Development,2,Medical,574,Female,65,Manufacturing Director,Divorced,5070,7389
46,1009,Research & Development,2,Life Sciences,575,Male,51,Research Director,Married,17861,2288
35,144,Research & Development,22,Life Sciences,577,Male,46,Laboratory Technician,Single,4230,19225
54,548,Research & Development,8,Life Sciences,578,Female,42,Laboratory Technician,Single,3780,23428
34,1303,Research & Development,2,Life Sciences,579,Male,62,Research Scientist,Divorced,2768,8416
46,1125,Sales,10,Marketing,580,Female,94,Sales Executive,Married,9071,11563
31,1274,Research & Development,9,Life Sciences,581,Male,33,Manufacturing Director,Divorced,10648,14394
33,1277,Research & Development,15,Medical,582,Male,56,Manager,Married,13610,24619
33,587,Research & Development,10,Medical,584,Male,38,Laboratory Technician,Divorced,3408,6705
30,413,Sales,7,Marketing,585,Male,57,Sales Representative,Single,2983,18398
35,1276,Research & Development,16,Life Sciences,586,Male,72,Healthcare Representative,Married,7632,14295
31,534,Research & Development,20,Life Sciences,587,Male,66,Healthcare Representative,Married,9824,22908
34,988,Human Resources,23,Human Resources,590,Female,43,Human Resources,Divorced,9950,11533
42,1474,Research & Development,5,Other,591,Male,97,Laboratory Technician,Married,2093,9260
36,635,Sales,10,Medical,592,Male,32,Sales Executive,Single,9980,15318
22,1368,Research & Development,4,Technical Degree,593,Male,99,Laboratory Technician,Single,3894,9129
48,163,Sales,2,Marketing,595,Female,37,Sales Executive,Married,4051,19658
55,1117,Sales,18,Life Sciences,597,Female,83,Manager,Single,16835,9873
41,267,Sales,10,Life Sciences,599,Male,56,Sales Executive,Single,6230,13430
35,619,Sales,1,Marketing,600,Male,85,Sales Executive,Married,4717,18659
40,302,Research & Development,6,Life Sciences,601,Female,75,Manufacturing Director,Single,13237,20364
39,443,Research & Development,8,Life Sciences,602,Female,48,Laboratory Technician,Married,3755,17872
31,828,Sales,2,Life Sciences,604,Male,77,Sales Executive,Single,6582,8346
42,319,Research & Development,24,Medical,605,Male,56,Manufacturing Director,Married,7406,6950
45,561,Sales,2,Other,606,Male,61,Sales Executive,Married,4805,16177
26,426,Human Resources,17,Life Sciences,608,Female,58,Human Resources,Divorced,2741,22808
29,232,Research & Development,19,Technical Degree,611,Male,34,Manufacturing Director,Divorced,4262,22645
33,922,Research & Development,1,Medical,612,Female,95,Research Director,Divorced,16184,22578
31,688,Sales,7,Life Sciences,613,Male,44,Manager,Divorced,11557,25291
18,1306,Sales,5,Marketing,614,Male,69,Sales Representative,Single,1878,8059
40,1094,Sales,28,Other,615,Male,58,Sales Executive,Divorced,10932,11373
41,509,Research & Development,2,Other,616,Female,62,Healthcare Representative,Single,6811,2112
26,775,Sales,29,Medical,618,Male,45,Sales Executive,Divorced,4306,4267
35,195,Sales,1,Medical,620,Female,80,Sales Executive,Single,4859,6698
34,258,Sales,21,Life Sciences,621,Male,74,Sales Executive,Single,5337,19921
26,471,Research & Development,24,Technical Degree,622,Male,66,Laboratory Technician,Single,2340,23213
37,799,Research & Development,1,Technical Degree,623,Female,59,Manufacturing Director,Single,7491,23848
46,1034,Research & Development,18,Medical,624,Female,86,Healthcare Representative,Married,10527,8984
41,1276,Sales,2,Life Sciences,625,Female,91,Manager,Married,16595,5626
37,142,Sales,9,Medical,626,Male,69,Sales Executive,Divorced,8834,24666
52,956,Research & Development,6,Technical Degree,630,Male,78,Research Scientist,Divorced,5577,22087
32,1474,Sales,11,Other,631,Male,60,Sales Executive,Married,4707,23914
24,535,Sales,24,Medical,632,Male,38,Sales Representative,Married,2400,5530
38,1495,Research & Development,10,Medical,634,Female,76,Healthcare Representative,Married,9824,22174
37,446,Research & Development,1,Life Sciences,635,Female,65,Manufacturing Director,Married,6447,15701
49,1245,Research & Development,18,Life Sciences,638,Male,58,Research Director,Divorced,19502,2125
24,691,Research & Development,23,Medical,639,Male,89,Research Scientist,Married,2725,21630
26,703,Sales,28,Marketing,641,Male,66,Sales Executive,Married,6272,7428
24,823,Research & Development,17,Other,643,Male,94,Laboratory Technician,Married,2127,9100
50,1246,Human Resources,3,Medical,644,Male,99,Manager,Married,18200,7999
25,622,Sales,13,Medical,645,Male,40,Sales Representative,Married,2096,26376
24,1287,Research & Development,7,Life Sciences,647,Female,55,Laboratory Technician,Married,2886,14168
30,448,Sales,12,Life Sciences,648,Male,74,Sales Representative,Married,2033,14470
34,254,Research & Development,1,Life Sciences,649,Male,83,Research Scientist,Married,3622,22794
31,1365,Sales,13,Medical,650,Male,46,Sales Executive,Divorced,4233,11512
35,538,Research & Development,25,Other,652,Male,54,Laboratory Technician,Single,3681,14004
31,525,Sales,6,Medical,653,Male,66,Sales Executive,Divorced,5460,6219
27,798,Research & Development,6,Medical,655,Female,66,Research Scientist,Divorced,2187,5013
37,558,Sales,2,Marketing,656,Male,75,Sales Executive,Married,9602,3010
20,959,Research & Development,1,Life Sciences,657,Female,83,Research Scientist,Single,2836,11757
42,622,Research & Development,2,Life Sciences,659,Female,81,Healthcare Representative,Married,4089,5718
43,782,Research & Development,6,Other,661,Male,50,Research Director,Divorced,16627,2671
38,362,Research & Development,1,Life Sciences,662,Female,43,Research Scientist,Single,2619,14561
43,1001,Research & Development,9,Medical,663,Male,72,Laboratory Technician,Divorced,5679,19627
48,1236,Research & Development,1,Life Sciences,664,Female,40,Manager,Married,15402,17997
44,1112,Human Resources,1,Life Sciences,665,Female,50,Human Resources,Single,5985,26894
34,204,Sales,14,Technical Degree,666,Female,31,Sales Representative,Divorced,2579,2912
27,1420,Sales,2,Marketing,667,Male,85,Sales Representative,Divorced,3041,16346
21,1343,Sales,22,Technical Degree,669,Male,49,Sales Representative,Single,3447,24444
44,1315,Research & Development,3,Other,671,Male,35,Manager,Married,19513,9358
22,604,Research & Development,6,Medical,675,Male,69,Research Scientist,Married,2773,12145
33,1216,Sales,8,Marketing,677,Male,39,Sales Executive,Divorced,7104,20431
32,646,Research & Development,9,Life Sciences,679,Female,92,Research Scientist,Married,6322,18089
30,160,Research & Development,3,Medical,680,Female,71,Research Scientist,Divorced,2083,22653
53,238,Sales,1,Medical,682,Female,34,Sales Executive,Single,8381,7507
34,1397,Research & Development,1,Life Sciences,683,Male,42,Research Scientist,Married,2691,7660
45,306,Sales,26,Life Sciences,684,Female,100,Sales Executive,Married,4286,5630
26,991,Research & Development,6,Life Sciences,686,Female,71,Laboratory Technician,Married,2659,17759
37,482,Research & Development,3,Other,689,Male,36,Manufacturing Director,Married,9434,9606
29,1176,Sales,3,Medical,690,Female,62,Sales Executive,Married,5561,3487
35,1017,Research & Development,6,Life Sciences,691,Male,82,Research Scientist,Single,6646,19368
33,1296,Research & Development,6,Life Sciences,692,Male,30,Healthcare Representative,Divorced,7725,5335
54,397,Human Resources,19,Medical,698,Male,88,Human Resources,Married,10725,6729
36,913,Research & Development,9,Medical,699,Male,48,Manufacturing Director,Divorced,8847,13934
27,1115,Research & Development,3,Medical,700,Male,54,Research Scientist,Single,2045,15174
20,1362,Research & Development,10,Medical,701,Male,32,Research Scientist,Single,1009,26999
33,1076,Research & Development,3,Life Sciences,702,Male,70,Research Scientist,Single,3348,3164
35,727,Research & Development,3,Life Sciences,704,Male,41,Laboratory Technician,Married,1281,16900
23,885,Research & Development,4,Medical,705,Male,58,Research Scientist,Married,2819,8544
25,810,Sales,8,Life Sciences,707,Male,57,Sales Executive,Married,4851,15678
38,243,Sales,7,Marketing,709,Female,46,Sales Executive,Single,4028,7791
29,806,Research & Development,1,Life Sciences,710,Male,76,Research Scientist,Divorced,2720,18959
48,817,Sales,2,Marketing,712,Male,56,Sales Executive,Married,8120,18597
27,1410,Sales,3,Medical,714,Female,71,Sales Executive,Divorced,4647,16673
37,1225,Research & Development,10,Life Sciences,715,Male,80,Research Scientist,Single,4680,15232
50,1207,Research & Development,28,Medical,716,Male,74,Laboratory Technician,Married,3221,3297
34,1442,Research & Development,9,Medical,717,Female,46,Healthcare Representative,Single,8621,17654
24,693,Sales,3,Life Sciences,720,Female,65,Sales Executive,Single,4577,24785
39,408,Research & Development,2,Technical Degree,721,Female,80,Healthcare Representative,Single,4553,20978
32,929,Sales,10,Marketing,722,Male,55,Sales Executive,Single,5396,21703
50,562,Sales,8,Technical Degree,723,Male,50,Sales Executive,Married,6796,23452
38,827,Research & Development,1,Life Sciences,724,Female,33,Healthcare Representative,Single,7625,19383
27,608,Research & Development,1,Life Sciences,725,Female,68,Manufacturing Director,Married,7412,6009
32,1018,Research & Development,3,Life Sciences,727,Female,39,Research Director,Single,11159,19373
47,703,Sales,14,Marketing,728,Male,42,Sales Executive,Single,4960,11825
40,580,Sales,5,Life Sciences,729,Male,48,Sales Executive,Married,10475,23772
53,970,Research & Development,7,Life Sciences,730,Male,59,Research Director,Married,14814,13514
41,427,Human Resources,10,Human Resources,731,Male,73,Manager,Divorced,19141,8861
60,1179,Sales,16,Marketing,732,Male,84,Sales Executive,Single,5405,11924
27,294,Research & Development,10,Life Sciences,733,Male,32,Manufacturing Director,Divorced,8793,4809
41,314,Human Resources,1,Human Resources,734,Male,59,Manager,Married,19189,19562
50,316,Sales,8,Marketing,738,Male,54,Sales Representative,Married,3875,9983
28,654,Research & Development,1,Life Sciences,741,Female,67,Research Scientist,Single,2216,3872
36,427,Research & Development,8,Life Sciences,742,Female,63,Research Director,Married,11713,20335
38,168,Research & Development,1,Life Sciences,743,Female,81,Manufacturing Director,Single,7861,15397
44,381,Research & Development,24,Medical,744,Male,49,Laboratory Technician,Single,3708,2104
47,217,Sales,3,Medical,746,Female,49,Sales Executive,Divorced,13770,10225
30,501,Sales,27,Marketing,747,Male,99,Sales Executive,Divorced,5304,25275
29,1396,Sales,10,Life Sciences,749,Male,99,Sales Representative,Single,2642,2755
42,933,Research & Development,19,Medical,752,Male,57,Research Scientist,Divorced,2759,20366
43,775,Sales,15,Life Sciences,754,Male,47,Sales Executive,Married,6804,23683
34,970,Research & Development,8,Medical,757,Female,96,Healthcare Representative,Single,6142,7360
23,650,Research & Development,9,Medical,758,Male,37,Laboratory Technician,Married,2500,4344
39,141,Human Resources,3,Human Resources,760,Female,44,Human Resources,Married,6389,18767
56,832,Research & Development,9,Medical,762,Male,81,Healthcare Representative,Married,11103,20420
40,804,Research & Development,2,Medical,763,Female,86,Research Scientist,Single,2342,22929
27,975,Research & Development,7,Medical,764,Female,55,Healthcare Representative,Single,6811,23398
29,1090,Sales,10,Marketing,766,Male,83,Sales Representative,Divorced,2297,17967
53,346,Research & Development,6,Life Sciences,769,Male,86,Laboratory Technician,Single,2450,10919
35,1225,Research & Development,2,Life Sciences,771,Female,61,Healthcare Representative,Divorced,5093,4761
32,430,Research & Development,24,Life Sciences,772,Male,80,Laboratory Technician,Married,5309,21146
38,268,Research & Development,2,Medical,773,Male,92,Research Scientist,Married,3057,20471
34,167,Research & Development,8,Life Sciences,775,Female,32,Manufacturing Director,Divorced,5121,4187
52,621,Sales,3,Marketing,776,Male,31,Manager,Married,16856,10084
33,527,Research & Development,1,Other,780,Male,63,Research Scientist,Single,2686,5207
25,883,Sales,26,Medical,781,Female,32,Sales Executive,Single,6180,22807
45,954,Sales,2,Technical Degree,783,Male,46,Sales Representative,Single,6632,12388
23,310,Research & Development,10,Medical,784,Male,79,Research Scientist,Single,3505,19630
47,719,Sales,27,Life Sciences,785,Female,77,Sales Executive,Single,6397,10339
34,304,Sales,2,Other,786,Male,60,Sales Executive,Single,6274,18686
55,725,Research & Development,2,Medical,787,Male,78,Manager,Married,19859,21199
36,1434,Sales,8,Life Sciences,789,Male,76,Sales Executive,Single,7587,14229
52,715,Research & Development,19,Medical,791,Male,41,Research Scientist,Married,4258,26589
26,575,Research & Development,1,Life Sciences,792,Female,71,Laboratory Technician,Divorced,4364,5288
29,657,Research & Development,27,Medical,793,Female,66,Healthcare Representative,Married,4335,25549
26,1146,Sales,8,Technical Degree,796,Male,38,Sales Executive,Single,5326,3064
34,182,Research & Development,1,Life Sciences,797,Female,72,Research Scientist,Single,3280,13551
54,376,Research & Development,19,Medical,799,Female,95,Manufacturing Director,Divorced,5485,22670
27,829,Sales,8,Marketing,800,Male,84,Sales Executive,Married,4342,24008
37,571,Research & Development,10,Life Sciences,802,Female,82,Research Scientist,Divorced,2782,19905
38,240,Research & Development,2,Life Sciences,803,Female,75,Manufacturing Director,Single,5980,26085
34,121,Research & Development,2,Medical,804,Female,86,Research Scientist,Single,4381,7530
35,384,Sales,8,Life Sciences,805,Female,72,Sales Representative,Married,2572,20317
30,921,Research & Development,1,Life Sciences,806,Male,38,Laboratory Technician,Married,3833,24375
40,791,Research & Development,2,Medical,807,Female,38,Healthcare Representative,Married,4244,9931
34,1111,Sales,8,Life Sciences,808,Female,93,Sales Executive,Married,6500,13305
42,570,Research & Development,8,Life Sciences,809,Male,66,Manager,Divorced,18430,16225
23,1243,Research & Development,6,Life Sciences,811,Male,63,Laboratory Technician,Married,1601,3445
24,1092,Research & Development,9,Life Sciences,812,Male,60,Laboratory Technician,Divorced,2694,26551
52,1325,Research & Development,11,Life Sciences,813,Female,82,Laboratory Technician,Married,3149,21821
50,691,Research & Development,2,Medical,815,Male,64,Research Director,Married,17639,6881
29,805,Research & Development,1,Life Sciences,816,Female,36,Laboratory Technician,Married,2319,6689
33,213,Research & Development,7,Medical,817,Male,49,Research Director,Married,11691,25995
33,118,Sales,16,Marketing,819,Female,69,Sales Executive,Single,5324,26507
47,202,Research & Development,2,Other,820,Female,33,Manager,Married,16752,12982
36,676,Research & Development,1,Other,823,Female,35,Manufacturing Director,Married,5228,23361
29,1252,Research & Development,23,Life Sciences,824,Male,81,Research Scientist,Married,2700,23779
58,286,Research & Development,2,Life Sciences,825,Male,31,Research Director,Single,19246,25761
35,1258,Research & Development,1,Life Sciences,826,Female,40,Research Scientist,Single,2506,13301
42,932,Research & Development,1,Life Sciences,827,Female,43,Manufacturing Director,Married,6062,4051
28,890,Research & Development,2,Medical,828,Male,46,Research Scientist,Single,4382,16374
36,1041,Human Resources,13,Human Resources,829,Male,36,Human Resources,Married,2143,25527
32,859,Research & Development,4,Life Sciences,830,Female,98,Manufacturing Director,Married,6162,19124
40,720,Research & Development,16,Medical,832,Male,51,Laboratory Technician,Single,5094,11983
30,946,Research & Development,2,Medical,833,Female,52,Manufacturing Director,Single,6877,20234
45,252,Research & Development,2,Life Sciences,834,Female,95,Research Scientist,Single,2274,6153
42,933,Research & Development,29,Life Sciences,836,Male,98,Manufacturing Director,Married,4434,11806
38,471,Research & Development,12,Life Sciences,837,Male,45,Healthcare Representative,Divorced,6288,4284
34,702,Research & Development,16,Life Sciences,838,Female,100,Research Scientist,Single,2553,8306
49,1184,Sales,11,Marketing,840,Female,43,Sales Executive,Married,7654,5860
55,436,Sales,2,Medical,842,Male,37,Sales Executive,Single,5160,21519
43,589,Research & Development,14,Life Sciences,843,Male,94,Research Director,Married,17159,5200
27,269,Research & Development,5,Technical Degree,844,Male,42,Research Director,Divorced,12808,8842
35,950,Research & Development,7,Other,845,Male,59,Manufacturing Director,Single,10221,18869
28,760,Sales,2,Marketing,846,Female,81,Sales Executive,Married,4779,3698
34,829,Human Resources,3,Human Resources,847,Male,88,Human Resources,Married,3737,2243
26,887,Research & Development,5,Medical,848,Female,88,Research Scientist,Married,2366,20898
27,443,Research & Development,3,Medical,850,Male,50,Research Scientist,Married,1706,16571
51,1318,Sales,26,Marketing,851,Female,66,Manager,Married,16307,5594
44,625,Research & Development,4,Medical,852,Male,50,Healthcare Representative,Single,5933,5197
25,180,Research & Development,2,Medical,854,Male,65,Research Scientist,Single,3424,21632
33,586,Sales,1,Medical,855,Male,48,Sales Executive,Divorced,4037,21816
35,1343,Research & Development,27,Medical,856,Female,53,Research Scientist,Single,2559,17852
36,928,Sales,1,Life Sciences,857,Male,56,Sales Executive,Married,6201,2823
32,117,Sales,13,Life Sciences,859,Male,73,Sales Executive,Divorced,4403,9250
30,1012,Research & Development,5,Life Sciences,861,Male,75,Research Scientist,Divorced,3761,2373
53,661,Sales,7,Marketing,862,Female,78,Sales Executive,Married,10934,20715
45,930,Sales,9,Marketing,864,Male,74,Sales Executive,Divorced,10761,19239
32,638,Research & Development,8,Medical,865,Female,91,Research Scientist,Married,5175,22162
52,890,Research & Development,25,Medical,867,Female,81,Manufacturing Director,Married,13826,19028
37,342,Sales,16,Marketing,868,Male,66,Sales Executive,Divorced,6334,24558
28,1169,Human Resources,8,Medical,869,Male,63,Human Resources,Divorced,4936,23965
22,1230,Research & Development,1,Life Sciences,872,Male,33,Manufacturing Director,Married,4775,19146
44,986,Research & Development,8,Life Sciences,874,Male,62,Laboratory Technician,Married,2818,5044
42,1271,Research & Development,2,Medical,875,Male,35,Research Scientist,Single,2515,9068
36,1278,Human Resources,8,Life Sciences,878,Male,77,Human Resources,Married,2342,8635
25,141,Sales,3,Other,879,Male,98,Sales Executive,Married,4194,14363
35,607,Research & Development,9,Life Sciences,880,Female,66,Manufacturing Director,Married,10685,23457
35,130,Research & Development,25,Life Sciences,881,Female,96,Research Scientist,Divorced,2022,16612
32,300,Research & Development,1,Life Sciences,882,Male,61,Laboratory Technician,Divorced,2314,9148
25,583,Sales,4,Marketing,885,Male,87,Sales Executive,Married,4256,18154
49,1418,Research & Development,1,Technical Degree,887,Female,36,Research Scientist,Married,3580,10554
24,1269,Research & Development,4,Life Sciences,888,Male,46,Laboratory Technician,Married,3162,10778
32,379,Sales,5,Life Sciences,889,Male,48,Sales Executive,Married,6524,8891
38,395,Sales,9,Marketing,893,Male,98,Sales Representative,Married,2899,12102
42,1265,Research & Development,3,Life Sciences,894,Female,95,Laboratory Technician,Married,5231,23726
31,1222,Research & Development,11,Life Sciences,895,Male,48,Research Scientist,Married,2356,14871
29,341,Sales,1,Medical,896,Female,48,Sales Representative,Divorced,2800,23522
53,868,Sales,8,Marketing,897,Male,73,Sales Executive,Married,11836,22789
35,672,Research & Development,25,Technical Degree,899,Male,78,Manufacturing Director,Married,10903,9129
37,1231,Sales,21,Medical,900,Female,54,Sales Representative,Married,2973,21222
53,102,Research & Development,23,Life Sciences,901,Female,72,Research Director,Single,14275,20206
43,422,Research & Development,1,Life Sciences,902,Female,33,Healthcare Representative,Married,5562,21782
47,249,Sales,2,Marketing,903,Female,35,Sales Executive,Married,4537,17783
37,1252,Sales,19,Medical,904,Male,32,Sales Executive,Single,7642,4814
50,881,Research & Development,2,Life Sciences,905,Male,98,Manager,Divorced,17924,4544
39,1383,Human Resources,2,Life Sciences,909,Female,42,Human Resources,Married,5204,7790
33,1075,Human Resources,3,Human Resources,910,Male,57,Human Resources,Divorced,2277,22650
32,374,Research & Development,25,Life Sciences,911,Male,87,Laboratory Technician,Single,2795,18016
29,1086,Research & Development,7,Medical,912,Female,62,Laboratory Technician,Divorced,2532,6054
44,661,Research & Development,9,Life Sciences,913,Male,61,Research Scientist,Married,2559,7508
28,821,Sales,5,Medical,916,Male,98,Sales Executive,Single,4908,24252
58,781,Research & Development,2,Life Sciences,918,Male,57,Laboratory Technician,Divorced,2380,13384
43,177,Research & Development,8,Life Sciences,920,Female,55,Manufacturing Director,Divorced,4765,23814
20,500,Sales,2,Medical,922,Female,49,Sales Representative,Single,2044,22052
21,1427,Research & Development,18,Other,923,Female,65,Research Scientist,Single,2693,8870
36,1425,Research & Development,14,Life Sciences,924,Male,68,Healthcare Representative,Married,6586,4821
47,1454,Sales,2,Life Sciences,925,Female,65,Sales Representative,Single,3294,13137
22,617,Research & Development,3,Life Sciences,926,Female,34,Manufacturing Director,Married,4171,10022
41,1085,Research & Development,2,Life Sciences,927,Female,57,Laboratory Technician,Divorced,2778,17725
28,995,Research & Development,9,Medical,930,Female,77,Research Scientist,Divorced,2377,9834
39,1122,Research & Development,6,Medical,932,Male,70,Laboratory Technician,Married,2404,4303
27,618,Research & Development,4,Life Sciences,933,Female,76,Research Scientist,Single,2318,17808
34,546,Research & Development,10,Life Sciences,934,Male,83,Laboratory Technician,Divorced,2008,6896
42,462,Sales,14,Medical,936,Female,68,Sales Executive,Single,6244,7824
33,1198,Research & Development,1,Other,939,Male,100,Research Scientist,Single,2799,3339
