Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result
662,male,20,37,93,43,7,44.95,fail
663,male,19,27,83,63,5,44.13,fail
664,female,19,6,81,68,8,33.15,fail
665,male,20,25,52,58,2,36.74,fail
666,male,23,6,52,45,7,23.43,fail
667,female,19,31,77,72,4,47.76,fail
668,female,21,13,93,88,9,43.44,fail
669,male,18,5,64,79,1,35.87,fail
670,male,24,15,90,58,7,41.9,fail
671,male,24,7,72,92,6,34.77,fail
672,female,21,27,89,40,8,39.75,fail
673,female,19,30,60,44,5,31.79,fail
674,female,24,8,97,66,1,27.08,fail
675,female,22,22,81,55,1,39.15,fail
676,male,18,10,85,45,9,32.05,fail
677,female,18,39,82,79,6,60.35,pass
678,female,24,26,73,52,5,41.26,fail
679,female,20,19,88,87,1,47.03,fail
680,female,24,26,83,74,6,55.32,pass
681,female,20,16,77,58,6,34.76,fail
682,male,24,22,86,51,3,40.67,fail
683,male,22,39,56,55,8,44.49,fail
684,female,23,34,53,82,1,51.58,pass
685,male,18,28,86,49,1,38.05,fail
686,female,24,34,50,64,6,48.36,fail
687,female,22,18,50,59,1,33.49,fail
688,male,20,10,96,70,6,31.45,fail
689,male,20,7,69,43,1,22.21,fail
690,female,18,20,68,83,6,52.95,pass
691,female,21,11,78,62,3,43.02,fail
692,female,24,18,59,41,8,30.71,fail
693,male,19,13,67,61,6,35.15,fail
694,female,20,19,77,90,1,45.27,fail
695,female,23,25,84,76,5,55.01,pass
696,female,23,39,92,47,8,55.94,pass
697,male,20,6,96,46,3,24.68,fail
698,female,21,31,80,53,6,44.04,fail
699,female,21,6,76,94,5,35.58,fail
700,male,22,39,60,42,6,36.6,fail
701,female,23,22,98,89,1,51.48,pass
702,female,22,18,98,55,7,39.94,fail
703,male,23,24,87,94,9,66.0,pass
704,female,24,22,54,58,2,34.91,fail
705,male,24,14,57,90,5,43.04,fail
706,male,19,29,83,57,4,46.12,fail
707,female,24,6,97,91,6,50.4,pass
708,female,19,29,61,55,6,35.68,fail
709,female,24,37,87,47,2,50.27,pass
710,female,18,35,50,72,2,48.81,fail
711,male,24,18,80,88,4,39.08,fail
712,female,22,5,53,51,1,28.32,fail
713,male,20,20,98,92,9,59.62,pass
714,female,22,7,94,50,7,26.21,fail
715,female,20,39,99,44,7,43.13,fail
716,female,21,10,54,66,3,22.57,fail
717,male,22,29,79,51,3,47.26,fail
718,female,21,17,73,56,1,30.89,fail
719,female,19,38,52,45,3,47.93,fail
720,female,19,12,60,72,3,34.37,fail
721,female,18,25,94,44,4,43.0,fail
722,male,24,38,53,67,4,40.33,fail
723,female,22,8,75,53,3,26.17,fail
724,male,21,29,76,44,8,47.25,fail
725,male,20,19,95,93,8,61.58,pass
726,male,19,8,92,72,1,43.44,fail
727,male,24,16,76,89,7,37.16,fail
728,male,19,36,91,87,2,55.58,pass
729,male,20,36,99,80,1,52.78,pass
730,female,24,32,55,58,3,43.88,fail
731,male,24,17,64,61,4,39.64,fail
732,male,21,35,79,44,6,52.37,pass
733,male,21,18,91,41,5,33.32,fail
734,female,22,24,86,69,4,53.47,pass
735,female,22,22,86,86,8,48.23,fail
736,male,23,33,91,78,4,47.14,fail
737,female,23,10,86,43,2,31.8,fail
738,male,18,36,84,72,3,53.39,pass
739,male,19,33,72,52,6,44.96,fail
740,female,22,6,55,59,8,21.68,fail
741,male,21,27,53,93,8,52.94,pass
742,female,20,23,67,46,9,43.4,fail
743,female,21,35,58,54,7,42.51,fail
744,male,19,9,98,62,2,28.21,fail
745,male,23,23,78,53,8,40.02,fail
746,female,21,38,62,62,7,47.2,fail
747,male,18,14,96,58,8,39.93,fail
748,male,19,29,66,93,3,51.26,pass
749,male,23,6,94,68,7,35.27,fail
750,female,20,15,81,59,9,36.21,fail
751,female,23,35,97,68,3,55.82,pass
752,male,24,19,71,63,6,38.57,fail
753,female,18,13,53,57,2,30.56,fail
754,female,19,27,54,49,2,36.35,fail
755,female,20,23,86,80,5,46.95,fail
756,female,18,13,90,47,5,36.72,fail
757,female,23,39,98,65,7,56.49,pass
758,male,18,25,62,68,2,50.97,pass
759,male,19,13,83,49,7,30.84,fail
760,male,22,32,94,56,5,53.99,pass
761,female,18,11,71,41,6,26.23,fail
762,female,24,20,72,45,8,36.37,fail
763,male,18,20,52,44,4,31.76,fail
764,female,23,37,91,67,7,54.85,pass
765,male,23,8,83,80,6,43.75,fail
766,male,20,8,81,44,2,24.45,fail
767,male,23,21,94,57,8,41.14,fail
768,female,21,33,98,65,9,50.14,pass
769,female,19,39,70,59,5,52.58,pass
770,male,19,11,95,80,4,32.66,fail
771,male,22,31,93,88,6,53.94,pass
772,male,22,32,70,66,8,52.09,pass
773,male,19,26,93,88,3,46.26,fail
774,female,24,18,60,51,1,31.36,fail
775,female,22,11,88,46,4,23.85,fail
776,male,20,26,53,42,4,34.46,fail
777,male,23,9,50,49,1,23.08,fail
778,female,19,6,77,73,9,28.62,fail
779,female,22,31,73,64,3,49.17,fail
780,male,19,25,84,74,5,51.37,pass
781,male,21,19,62,55,6,38.74,fail
782,male,18,25,96,41,8,38.37,fail
783,female,23,14,83,63,6,37.67,fail
784,female,19,27,60,49,3,46.2,fail
785,female,18,9,85,77,6,36.05,fail
786,male,22,5,66,61,1,24.55,fail
787,male,18,17,84,65,4,36.18,fail
788,female,23,25,67,82,6,43.43,fail
789,female,19,30,89,94,7,57.55,pass
790,male,21,25,71,78,3,52.27,pass
791,female,24,22,73,66,9,43.72,fail
792,female,22,36,68,68,7,48.85,fail
793,male,19,21,86,86,1,54.43,pass
794,female,23,39,88,77,2,59.85,pass
795,male,22,15,70,59,1,30.61,fail
796,male,20,25,57,66,9,46.46,fail
797,male,18,30,77,80,9,46.63,fail
798,male,24,8,54,93,7,30.07,fail
799,male,23,38,66,59,3,50.41,pass
800,male,20,22,86,83,5,49.87,fail
801,male,19,39,85,58,4,59.31,pass
802,female,21,33,68,59,7,55.59,pass
803,male,22,33,76,74,9,45.65,fail
804,male,18,25,83,86,2,42.07,fail
805,female,22,17,60,41,8,31.19,fail
806,female,24,21,94,69,9,45.28,fail
807,female,19,13,96,92,9,51.82,pass
808,male,22,5,61,73,7,31.6,fail
809,female,18,6,70,61,9,30.0,fail
810,male,19,33,60,42,9,42.4,fail
811,male,22,37,88,45,3,50.04,pass
812,male,21,14,77,54,4,32.44,fail
813,male,23,25,54,66,2,42.9,fail
814,female,19,32,66,49,3,44.02,fail
815,female,23,15,69,48,5,32.16,fail
816,male,19,38,90,72,5,53.08,pass
817,male,21,12,95,71,6,46.38,fail
818,male,23,26,61,87,7,54.91,pass
819,female,20,12,55,45,7,24.38,fail
820,male,18,19,66,80,1,37.23,fail
821,male,20,21,68,75,2,51.09,pass
822,female,22,27,75,41,9,41.77,fail
823,female,21,28,97,68,2,48.67,fail
824,male,20,23,93,43,6,33.24,fail
825,female,19,9,93,40,1,32.0,fail
826,female,22,36,81,58,3,48.91,fail
827,male,22,5,55,65,2,28.71,fail
828,female,20,27,85,64,3,48.54,fail
829,male,20,12,87,49,5,31.4,fail
830,female,21,17,60,92,6,46.03,fail
831,male,18,12,82,54,9,36.58,fail
832,male,20,27,73,61,4,53.35,pass
833,male,24,5,72,90,7,36.46,fail
834,female,20,28,64,87,6,48.66,fail
835,male,23,39,76,60,2,53.52,pass
836,female,19,28,60,61,8,48.31,fail
837,male,24,21,99,75,7,44.8,fail
838,male,24,9,66,73,7,31.38,fail
839,female,23,24,63,69,8,52.95,pass
840,male,23,25,76,64,1,41.25,fail
841,male,22,35,67,84,1,64.89,pass
842,female,18,15,77,67,8,40.12,fail
843,male,19,19,96,40,4,37.7,fail
844,male,21,23,96,88,5,53.4,pass
845,male,24,11,53,84,8,31.84,fail
846,male,21,32,56,43,5,44.03,fail
847,female,20,9,94,46,4,29.23,fail
848,female,20,9,84,88,6,43.3,fail
849,male,21,34,97,48,5,42.57,fail
850,female,20,36,58,75,7,49.99,fail
851,male,18,12,57,58,7,31.89,fail
852,female,23,14,94,40,4,28.92,fail
853,male,20,36,66,49,5,50.34,pass
854,male,22,32,66,75,3,44.5,fail
855,male,20,21,98,48,4,49.83,fail
856,male,19,35,82,84,4,61.54,pass
857,male,18,12,81,85,3,43.56,fail
858,male,19,29,57,81,5,39.35,fail
859,female,19,13,68,71,5,37.22,fail
860,male,22,6,87,71,7,38.41,fail
861,female,18,19,52,45,4,31.47,fail
862,male,18,7,54,87,4,30.09,fail
863,female,18,8,62,77,9,37.87,fail
864,female,18,18,96,56,6,38.82,fail
865,female,18,29,95,49,4,41.79,fail
866,male,22,14,80,89,2,38.09,fail
867,male,20,25,65,66,6,41.25,fail
868,female,19,16,99,93,2,53.95,pass
869,male,18,31,81,89,5,53.64,pass
870,female,24,6,71,74,6,39.76,fail
871,male,20,17,78,91,4,45.12,fail
872,female,20,36,71,60,3,49.54,fail
873,female,19,35,92,64,7,48.34,fail
874,male,22,20,52,67,2,32.5,fail
875,female,21,36,59,86,6,65.55,pass
876,male,21,36,91,54,4,52.66,pass
877,female,20,38,70,43,6,47.8,fail
878,female,23,15,65,68,4,36.3,fail
879,male,23,14,61,48,4,32.16,fail
880,male,19,19,51,66,4,31.34,fail
881,male,21,21,90,65,9,39.86,fail
882,female,20,22,73,58,7,34.98,fail
883,male,22,13,84,67,3,36.33,fail
884,female,21,29,79,56,3,52.55,pass
885,female,20,18,79,82,6,45.33,fail
886,male,20,29,96,80,6,50.95,pass
887,male,18,26,84,81,4,47.23,fail
888,female,22,34,68,89,9,59.0,pass
889,female,18,24,99,59,4,35.75,fail
890,male,19,25,57,84,9,39.1,fail
891,male,18,36,75,79,4,54.17,pass
892,male,24,25,98,78,2,53.05,pass
893,male,18,39,89,88,2,63.53,pass
894,male,24,36,56,92,5,61.46,pass
895,female,21,34,79,62,4,62.71,pass
896,female,23,16,56,86,7,43.69,fail
897,female,20,22,52,71,5,42.47,fail
898,female,24,25,50,91,6,45.86,fail
899,male,22,17,85,86,4,40.81,fail
900,male,18,25,74,72,2,45.11,fail
901,male,24,12,86,85,9,43.3,fail
902,female,22,11,50,44,7,19.9,fail
903,female,23,27,64,82,4,49.39,fail
904,male,23,36,86,87,3,54.67,pass
905,male,18,15,62,73,3,40.71,fail
906,female,19,26,89,79,9,50.08,pass
907,female,18,26,57,50,5,35.83,fail
908,male,21,29,54,89,3,52.08,pass
909,male,24,26,58,42,5,37.14,fail
910,female,20,32,50,72,2,53.1,pass
911,male,19,33,85,50,4,46.9,fail
912,male,18,17,84,55,2,44.66,fail
913,male,22,22,51,57,2,41.66,fail
914,female,19,6,89,69,8,30.26,fail
915,female,24,33,72,87,1,52.76,pass
916,female,19,25,58,94,7,42.81,fail
917,female,24,19,83,49,5,43.34,fail
918,female,18,31,95,57,8,51.57,pass
919,female,24,35,63,77,1,52.38,pass
920,female,19,19,53,58,7,30.69,fail
921,male,22,27,79,75,5,45.91,fail
922,male,23,28,80,52,4,47.22,fail
923,male,19,17,87,85,7,49.4,fail
924,male,24,26,60,42,2,42.37,fail
925,male,23,37,84,49,1,49.45,fail
926,male,24,7,57,77,1,30.69,fail
927,male,22,23,52,40,1,34.39,fail
928,female,24,27,63,94,5,46.37,fail
929,female,18,33,62,66,7,50.27,pass
930,male,20,34,94,85,2,51.81,pass
931,male,19,29,81,47,8,49.73,fail
932,female,20,12,83,90,4,51.26,pass
933,male,24,20,94,85,3,56.94,pass
934,male,22,12,68,81,8,39.28,fail
935,female,19,5,87,56,2,31.97,fail
936,male,24,9,65,48,3,29.93,fail
937,female,23,7,51,45,3,20.02,fail
938,male,21,5,89,82,1,40.41,fail
939,female,24,8,66,64,6,26.11,fail
940,female,20,39,83,78,2,54.41,pass
941,female,19,36,91,88,1,56.06,pass
942,male,20,38,65,67,2,40.41,fail
943,female,19,29,87,72,6,53.18,pass
944,male,24,14,51,93,4,39.32,fail
945,male,18,25,51,76,6,43.06,fail
946,male,23,31,75,48,9,35.93,fail
947,male,24,31,62,57,8,47.94,fail
948,female,20,6,96,60,1,25.8,fail
949,female,21,17,80,41,8,33.32,fail
950,male,21,13,83,82,9,42.72,fail
951,male,22,26,88,77,6,50.82,pass
952,female,19,30,52,79,5,49.23,fail
953,male,20,16,57,75,6,33.34,fail
954,female,22,21,72,89,6,51.58,pass
955,male,20,18,63,82,9,42.28,fail
956,male,19,18,76,76,4,38.8,fail
957,female,24,38,78,54,2,46.0,fail
958,male,24,24,88,67,9,40.24,fail
959,female,21,15,88,57,2,42.54,fail
960,male,24,20,50,73,9,36.14,fail
961,male,24,35,66,61,2,48.83,fail
962,male,18,10,90,50,8,23.64,fail
963,female,21,23,79,52,9,32.44,fail
964,male,22,8,62,43,9,28.93,fail
965,male,23,8,70,61,9,32.77,fail
966,male,18,24,68,46,2,32.22,fail
967,male,22,14,68,82,4,33.95,fail
968,female,19,28,74,93,7,55.66,pass
969,female,18,39,71,63,2,57.22,pass
970,male,22,30,80,43,1,39.92,fail
971,female,19,25,66,67,3,37.73,fail
972,male,21,25,72,54,4,43.34,fail
973,male,23,14,81,40,8,26.78,fail
974,male,19,8,59,94,6,34.53,fail
975,female,24,24,59,42,2,38.06,fail
976,female,20,21,85,53,9,43.28,fail
977,female,19,11,57,77,2,29.27,fail
978,female,19,8,69,89,5,28.24,fail
979,female,23,33,81,40,4,39.48,fail
980,female,20,18,99,77,7,36.28,fail
981,female,24,7,63,77,8,36.97,fail
982,female,22,28,99,60,5,56.42,pass
983,female,22,20,77,87,5,56.63,pass
984,male,19,8,95,68,2,41.12,fail
985,female,20,28,73,44,8,43.97,fail
986,female,20,38,64,88,2,55.24,pass
987,female,24,34,71,49,6,41.64,fail
988,female,23,22,79,67,8,50.38,pass
989,female,21,23,53,60,6,41.83,fail
990,female,22,35,62,89,4,51.27,pass
991,female,23,23,72,46,4,39.39,fail
992,female,18,23,57,42,6,34.2,fail
993,female,22,26,67,84,4,49.51,fail
994,female,23,28,61,86,8,45.51,fail
995,female,22,16,80,59,9,31.42,fail
996,male,21,34,63,58,1,53.27,pass
997,male,18,35,83,74,4,60.5,pass
998,female,21,23,67,43,4,38.77,fail
999,female,24,34,83,44,2,43.57,fail
1000,male,18,37,60,40,6,37.9,fail
